area_m2,quartos,vagas,idade_anos,bairro,preco
40,2,3,28,Asa Norte,499089.0
123,5,3,1,Samambaia,781580.0
109,4,1,2,Samambaia,656074.0
83,4,0,9,Asa Norte,606606.0
82,2,1,19,Samambaia,484530.0
133,4,3,11,Águas Claras,811429.0
40,1,3,17,Águas Claras,339920.0
114,4,2,6,Asa Norte,857956.0
54,1,0,25,Samambaia,292739.0
41,2,0,10,Águas Claras,325927.0
93,3,1,2,Taguatinga,615086.0
148,4,2,25,Asa Norte,921624.0
119,4,0,31,Águas Claras,661757.0
122,5,2,0,Taguatinga,751929.0
116,5,2,15,Samambaia,688569.0
125,5,0,28,Asa Norte,844360.0
92,5,0,24,Águas Claras,557924.0
45,2,1,29,Samambaia,313150.0
131,4,2,14,Taguatinga,769205.0
84,2,3,13,Samambaia,464182.0
90,3,1,24,Águas Claras,505249.0
74,2,1,5,Asa Norte,632369.0
52,2,3,8,Taguatinga,427266.0
142,5,1,21,Águas Claras,829980.0
124,4,1,23,Samambaia,665421.0
107,5,1,4,Águas Claras,725095.0
78,3,0,17,Águas Claras,544168.0
129,4,1,12,Taguatinga,698311.0
95,3,2,17,Asa Norte,701381.0
83,2,3,33,Samambaia,451934.0
84,3,2,2,Samambaia,553312.0
57,2,3,34,Águas Claras,492773.0
41,3,2,15,Taguatinga,354103.0
97,4,0,27,Águas Claras,503241.0
137,5,1,14,Asa Norte,875560.0
37,1,3,10,Samambaia,291244.0
133,4,0,26,Asa Norte,834279.0
130,4,3,24,Asa Norte,905506.0
63,2,2,5,Taguatinga,462950.0
106,5,1,24,Samambaia,596089.0
49,1,3,26,Taguatinga,408727.0
121,5,3,13,Águas Claras,786139.0
114,3,0,32,Taguatinga,565019.0
72,3,0,22,Águas Claras,493561.0
38,2,2,11,Águas Claras,332053.0
147,5,3,0,Águas Claras,956039.0
83,3,0,23,Taguatinga,484789.0
138,4,2,7,Asa Norte,953840.0
112,4,0,26,Taguatinga,671190.0
124,4,2,18,Taguatinga,708623.0
121,3,2,16,Samambaia,745510.0
53,1,0,5,Samambaia,313710.0
74,3,2,24,Taguatinga,446904.0
86,4,3,5,Águas Claras,661647.0
90,3,3,14,Samambaia,534131.0
35,1,0,29,Águas Claras,246489.0
96,4,0,32,Taguatinga,551496.0
48,3,0,34,Samambaia,303845.0
119,4,1,33,Taguatinga,635624.0
112,4,0,19,Asa Norte,812759.0
141,5,3,7,Asa Norte,1055113.0
120,5,3,29,Asa Norte,937071.0
74,4,3,28,Águas Claras,585929.0
147,5,0,34,Águas Claras,853920.0
79,2,0,22,Taguatinga,382372.0
69,2,3,4,Águas Claras,542473.0
139,5,1,17,Samambaia,727855.0
74,4,2,15,Águas Claras,569973.0
39,1,3,29,Asa Norte,454599.0
86,3,0,13,Samambaia,475984.0
126,5,0,11,Samambaia,755276.0
52,1,0,2,Taguatinga,346860.0
86,2,0,29,Taguatinga,479483.0
45,2,0,26,Samambaia,260071.0
113,4,3,1,Asa Norte,892450.0
87,3,2,15,Samambaia,532611.0
69,2,3,16,Samambaia,477691.0
57,2,3,16,Samambaia,452386.0
98,4,3,32,Águas Claras,718659.0
111,4,0,5,Asa Norte,810037.0
143,5,1,10,Águas Claras,878234.0
82,1,3,6,Asa Norte,656320.0
49,2,0,8,Samambaia,314324.0
130,4,0,31,Taguatinga,715110.0
106,3,2,32,Taguatinga,641909.0
114,3,3,1,Águas Claras,773406.0
41,1,3,22,Samambaia,346624.0
67,3,3,8,Águas Claras,573177.0
122,3,0,6,Águas Claras,757611.0
130,5,3,10,Águas Claras,863128.0
82,3,3,6,Águas Claras,610151.0
127,4,2,17,Taguatinga,756554.0
131,5,3,34,Taguatinga,671429.0
76,3,3,20,Taguatinga,545601.0
138,5,1,25,Águas Claras,681906.0
64,2,0,17,Águas Claras,373879.0
58,2,1,0,Taguatinga,440412.0
112,4,0,2,Águas Claras,715514.0
107,4,0,9,Asa Norte,734515.0
46,2,0,8,Águas Claras,349876.0
130,4,2,29,Taguatinga,783769.0
54,2,2,29,Taguatinga,363659.0
127,5,2,29,Taguatinga,819702.0
30,3,2,22,Águas Claras,350333.0
126,5,2,19,Águas Claras,809281.0
125,4,2,22,Samambaia,753991.0
124,4,0,14,Águas Claras,732186.0
110,3,3,23,Taguatinga,634518.0
87,3,1,27,Taguatinga,511960.0
115,4,0,26,Taguatinga,626954.0
63,3,3,21,Taguatinga,428034.0
124,4,2,2,Samambaia,720246.0
97,3,0,25,Samambaia,480423.0
85,2,0,12,Águas Claras,563753.0
91,3,0,26,Taguatinga,510611.0
98,3,1,18,Águas Claras,608302.0
34,1,0,30,Taguatinga,223084.0
46,1,2,11,Asa Norte,519209.0
59,2,2,32,Águas Claras,457788.0
43,1,3,29,Taguatinga,306410.0
83,2,2,11,Samambaia,468344.0
110,5,2,16,Águas Claras,771864.0
109,3,2,18,Taguatinga,634968.0
87,2,0,26,Asa Norte,575011.0
133,5,0,24,Águas Claras,780933.0
98,5,2,29,Águas Claras,675618.0
39,1,0,12,Águas Claras,266625.0
122,4,0,17,Samambaia,651832.0
99,4,0,15,Águas Claras,646545.0
106,5,3,31,Águas Claras,727504.0
98,3,1,10,Águas Claras,654719.0
96,3,2,20,Águas Claras,582051.0
