area_m2,quartos,vagas,idade_anos,valor_condominio,bairro,preco
80,3,0,21,860,Águas Claras,521000
49,2,1,11,440,Samambaia,435000
147,5,3,12,1260,Guará,846000
99,3,2,3,900,Águas Claras,728000
64,2,1,24,810,Asa Norte,602000
89,4,3,19,820,Taguatinga,650000
35,1,0,0,290,Ceilândia,238000
115,4,2,27,820,Guará,625000
96,3,1,7,640,Guará,599000
34,1,0,9,500,Taguatinga,332000
143,5,1,14,780,Samambaia,902000
41,1,0,11,470,Águas Claras,362000
141,3,2,15,800,Samambaia,797000
62,2,1,24,620,Asa Norte,573000
147,5,3,19,1130,Asa Norte,1113000
74,2,1,6,600,Ceilândia,513000
103,3,1,29,1050,Águas Claras,676000
111,3,1,0,850,Taguatinga,705000
80,2,0,5,780,Asa Norte,637000
88,4,3,30,570,Ceilândia,560000
116,4,2,38,790,Ceilândia,596000
164,5,2,18,1040,Taguatinga,983000
150,5,3,8,1180,Guará,1058000
82,3,1,15,840,Taguatinga,654000
36,1,0,37,510,Guará,259000
118,4,1,25,490,Samambaia,670000
167,5,4,35,960,Samambaia,867000
157,5,2,34,860,Taguatinga,815000
129,3,1,38,700,Guará,724000
162,5,2,8,1240,Águas Claras,1044000
109,4,2,19,890,Asa Norte,893000
34,1,0,18,430,Guará,296000
139,5,2,25,1010,Samambaia,699000
109,4,3,15,700,Samambaia,671000
102,3,2,13,700,Samambaia,521000
123,4,1,1,900,Asa Norte,936000
75,2,0,23,620,Taguatinga,435000
48,1,1,11,380,Samambaia,384000
90,3,3,24,820,Asa Norte,875000
65,1,1,15,620,Águas Claras,448000
76,2,2,38,630,Ceilândia,430000
114,5,2,32,850,Águas Claras,882000
121,4,2,31,890,Águas Claras,868000
54,2,0,19,320,Ceilândia,289000
175,5,3,23,1280,Águas Claras,1071000
83,3,2,1,770,Águas Claras,714000
169,5,3,14,1030,Asa Norte,1234000
117,4,1,1,720,Taguatinga,739000
162,5,2,34,870,Taguatinga,960000
66,2,1,33,780,Taguatinga,407000
34,1,1,10,720,Asa Norte,477000
46,2,1,1,400,Samambaia,345000
180,5,2,34,1280,Guará,1167000
153,5,4,2,1500,Águas Claras,1086000
54,2,1,26,610,Guará,457000
32,1,1,9,550,Águas Claras,357000
177,4,4,0,1490,Águas Claras,1256000
173,5,1,10,810,Taguatinga,1053000
40,1,1,20,390,Taguatinga,281000
130,4,4,33,1040,Asa Norte,938000
149,4,1,9,1090,Asa Norte,1216000
55,3,2,4,670,Guará,495000
175,5,3,18,1040,Samambaia,1038000
93,2,3,17,970,Asa Norte,821000
90,3,1,16,760,Samambaia,585000
106,3,2,32,910,Águas Claras,656000
49,2,2,35,640,Samambaia,345000
48,2,0,21,390,Taguatinga,296000
170,5,2,9,1070,Guará,1051000
108,4,1,2,950,Águas Claras,658000
37,1,0,31,290,Samambaia,232000
147,5,1,20,890,Samambaia,884000
67,1,1,12,330,Samambaia,411000
84,2,2,22,780,Taguatinga,574000
108,3,1,34,730,Samambaia,596000
165,5,3,38,1350,Águas Claras,913000
82,3,1,36,480,Taguatinga,412000
146,4,2,3,1140,Guará,881000
133,4,2,2,1010,Asa Norte,973000
115,5,2,8,880,Taguatinga,738000
152,5,2,4,1090,Águas Claras,915000
73,2,1,37,880,Águas Claras,558000
73,1,1,27,620,Guará,513000
74,2,1,8,750,Águas Claras,597000
108,3,1,30,1010,Águas Claras,653000
78,2,0,35,660,Guará,477000
178,4,3,26,1260,Samambaia,934000
89,3,2,22,1150,Águas Claras,699000
161,5,3,24,1170,Águas Claras,957000
33,2,0,6,280,Taguatinga,315000
68,3,2,2,470,Águas Claras,601000
54,2,2,16,730,Águas Claras,506000
135,3,2,13,1100,Guará,833000
94,3,2,35,680,Taguatinga,555000
174,4,4,21,1160,Águas Claras,1122000
93,3,2,37,820,Taguatinga,556000
141,4,3,16,820,Samambaia,797000
69,2,0,37,400,Samambaia,405000
122,4,3,13,860,Samambaia,760000
175,5,1,10,1070,Samambaia,983000
180,5,2,10,1300,Taguatinga,1099000
69,3,1,29,460,Taguatinga,460000
161,5,3,12,1330,Taguatinga,979000
36,1,1,35,360,Taguatinga,311000
62,2,0,18,560,Guará,479000
48,3,2,11,690,Asa Norte,697000
147,5,2,29,1010,Samambaia,856000
76,2,1,35,620,Asa Norte,587000
111,3,2,37,1150,Asa Norte,845000
107,3,1,12,790,Asa Norte,858000
100,3,1,1,780,Asa Norte,892000
140,4,2,33,960,Guará,844000
86,3,2,28,630,Samambaia,511000
35,1,0,19,180,Ceilândia,203000
115,4,2,26,1250,Águas Claras,761000
161,5,4,4,1540,Águas Claras,970000
53,1,1,30,460,Taguatinga,344000
103,3,2,19,740,Samambaia,578000
171,5,1,38,1000,Taguatinga,914000
97,4,2,3,900,Asa Norte,906000
47,1,2,27,350,Guará,344000
116,3,1,32,710,Ceilândia,653000
47,1,1,8,580,Águas Claras,381000
166,5,2,33,800,Taguatinga,831000
154,5,4,38,1070,Samambaia,948000
133,4,3,15,1110,Águas Claras,940000
162,5,3,0,990,Ceilândia,986000
139,5,2,4,990,Taguatinga,820000
129,5,3,22,770,Ceilândia,790000
96,4,1,16,910,Águas Claras,680000
134,5,2,37,890,Samambaia,750000
180,5,2,34,1390,Águas Claras,1203000
103,3,3,31,560,Samambaia,661000
131,3,3,17,880,Guará,874000
111,3,2,13,990,Águas Claras,875000
171,5,2,12,1170,Taguatinga,1047000
172,5,1,0,1180,Taguatinga,1050000
61,2,1,31,560,Samambaia,397000
51,3,1,0,640,Asa Norte,777000
101,3,3,17,1020,Taguatinga,637000
80,1,1,17,570,Samambaia,387000
144,5,3,6,1140,Ceilândia,877000
160,5,1,31,790,Samambaia,862000
77,2,2,2,930,Águas Claras,542000
47,2,1,38,340,Samambaia,280000
135,5,2,38,830,Taguatinga,838000
66,2,0,36,530,Taguatinga,373000
167,5,2,13,1030,Ceilândia,1001000
90,4,2,1,730,Guará,642000
41,1,1,23,440,Águas Claras,431000
161,5,3,6,1140,Águas Claras,1163000
81,3,1,5,560,Guará,481000
71,3,2,19,620,Taguatinga,455000
69,2,1,8,760,Guará,518000
123,3,2,14,1190,Águas Claras,889000
115,4,2,33,1030,Guará,794000
107,4,3,15,990,Águas Claras,715000
119,3,2,2,840,Ceilândia,704000
93,3,1,23,710,Guará,568000
87,3,1,34,910,Águas Claras,578000
